tweet_id,entity,sentiment,tweet_text,model_text,processed_text
2828,Dota2,Neutral,Virtus.Pro kept first place in the group by beating OG. egamersworld.com / dota2 / news / 175.... The CIS team already has five consecutive victories.,virtus pro kept first place in the group by beating og egamersworld com dota news the cis team already has five consecutive victories,virtu pro kept first place group beat og egamersworld com dota news cis team already five consecutive victory
12477,WorldOfCraft,Negative,@WarcraftDevs @Warcraft All these changes yet mongoose bite is still not a default method of a survivals kit. Why make this change as it not answer any to put 95% picked talent on third row!,all these changes yet mongoose bite is still not a default method of a survivals kit why make this change as it not answer any to put picked talent on third row,change yet mongoose bite still not default method survival kit make change not answer put pick talent third row
2784,Borderlands,Neutral,>> Timothy Jones. >> So small of heart. How dumb of ass... [,timothy jones so small of heart how dumb of ass,timothy jone small heart dumb ass
10517,RedDeadRedemption(RDR),Neutral,no he just has brain damage that is not the same,no he just has brain damage that is not the same,no brain damage not
5122,GrandTheftAuto(GTA),Neutral,The people who killed Michael or Trevor at the end of the day are probably hooligans right now,the people who killed michael or trevor at the end of the day are probably hooligans right now,people kill michael trevor end day probab hooligan right
11282,TomClancysRainbowSix,Negative,"@ INTERRO Ik you probably don't care, but you can please help console players and tweet @ Rainbow6Game to do something about ddosers. Because believe me, they do absolutely nothing. Please help us, they don't listen to anyone like me.",interro ik you probably do not care but you can please help console players and tweet rainbow game to do something about ddosers because believe me they do absolutely nothing please help us they do not listen to anyone like me,interro ik probab not care please help console player tweet rainbow game someth ddoser believe absolute noth please help us not listen anyone like
6295,FIFA,Negative,2019: Too much time spent playing video games indoors is bad for your health. . 2020:,too much time spent playing video games indoors is bad for your health,much time spent play video game indoor bad health
11505,TomClancysRainbowSix,Negative,"@ Rainbow6Game I was removed from the game because I lost connection and can no longer participate in the game, which will result in me receiving a half-hour ban pic.twitter.com / Cyevf77veM",rainbow game i was removed from the game because i lost connection and can no longer participate in the game which will result in me receiving a half hour ban pic twitter com cyevf vem,rainbow game remov game lost connection no longer participate game result receiv half hour ban pic twitter com cyevf vem
11680,Verizon,Negative,"Out of all the phone carriers to have curbside assistance, Verizon is the only to not have it and I legit have an issue with my phone . ",out of all the phone carriers to have curbside assistance verizon is the only to not have it and i legit have an issue with my phone,out phone carrier curbside assistance verizon only not legit issue phone
6185,FIFA,Negative,Bashing FIFA for every reason.. who all are shocked how long YOUR hate lingers are for Serena and her popularity.. Just because FIFA supports her and SidNaaz.. OHh Myy my..,bashing fifa for every reason who all are shocked how long your hate lingers are for serena and her popularity just because fifa supports her and sidnaaz ohh myy my,bash fifa every reason shock long hate linger serena popularity fifa support sidnaaz ohh myy
9387,Overwatch,Positive,"Imagine complaining about ""realistic body proportions"" when you watch, when the characters ""eyes are literally the size of their fists. Shut up and let the artists do what they want.",imagine complaining about realistic body proportions when you watch when the characters eyes are literally the size of their fists shut up and let the artists do what they want,imagine complain realistic body proportion watch character eyes literal size fist shut let artist want
12885,Xbox(Xseries),Positive,2015 Hey my thanks @BestBuy for putting me over an outside a checkout queue WHILE I was on board the last steps of your buying a Xbox Racing Series Master X. Now they are sold out to fuck yourselves,hey my thanks for putting me over an outside a checkout queue while i was on board the last steps of your buying a xbox racing series master x now they are sold out to fuck yourselves,hey thank putt outside checkout queue while board last step buy xbox rac sery master sold out fuck yourselve
