tweet_id,entity,sentiment,model_text,analysis_text,model_token_count,analysis_token_count
2828,Dota2,Neutral,virtus pro kept first place in the group by beating og egamersworld com dota news the cis team already has five consecutive victories,virtu pro kept first place group beat og egamersworld com dota news cis team already five consecutive victory,23,18
12477,WorldOfCraft,Negative,all these changes yet mongoose bite is still not a default method of a survivals kit why make this change as it not answer any to put picked talent on third row,change yet mongoose bite still not default method survival kit make change not answer put pick talent third row,32,19
2784,Borderlands,Neutral,timothy jones so small of heart how dumb of ass,timothy jone small heart dumb ass,10,6
10517,RedDeadRedemption(RDR),Neutral,no he just has brain damage that is not the same,no brain damage not,11,4
5122,GrandTheftAuto(GTA),Neutral,the people who killed michael or trevor at the end of the day are probably hooligans right now,people kill michael trevor end day probab hooligan right,18,9
11282,TomClancysRainbowSix,Negative,interro ik you probably do not care but you can please help console players and tweet rainbow game to do something about ddosers because believe me they do absolutely nothing please help us they do not listen to anyone like me,interro ik probab not care please help console player tweet rainbow game someth ddoser believe absolute noth please help us not listen anyone like,41,24
6295,FIFA,Negative,too much time spent playing video games indoors is bad for your health,much time spent play video game indoor bad health,13,9
11505,TomClancysRainbowSix,Negative,rainbow game i was removed from the game because i lost connection and can no longer participate in the game which will result in me receiving a half hour ban pic twitter com cyevf vem,rainbow game remov game lost connection no longer participate game result receiv half hour ban pic twitter com cyevf vem,35,20
11680,Verizon,Negative,out of all the phone carriers to have curbside assistance verizon is the only to not have it and i legit have an issue with my phone,out phone carrier curbside assistance verizon only not legit issue phone,27,11
6185,FIFA,Negative,bashing fifa for every reason who all are shocked how long your hate lingers are for serena and her popularity just because fifa supports her and sidnaaz ohh myy my,bash fifa every reason shock long hate linger serena popularity fifa support sidnaaz ohh myy,30,15
9387,Overwatch,Positive,imagine complaining about realistic body proportions when you watch when the characters eyes are literally the size of their fists shut up and let the artists do what they want,imagine complain realistic body proportion watch character eyes literal size fist shut let artist want,30,15
12885,Xbox(Xseries),Positive,hey my thanks for putting me over an outside a checkout queue while i was on board the last steps of your buying a xbox racing series master x now they are sold out to fuck yourselves,hey thank putt outside checkout queue while board last step buy xbox rac sery master sold out fuck yourselve,37,19
