phase6_row_id,split,sentiment,label_id,model_text,sequence_length,oov_token_count,model_tokens_preview,sequence_ids_preview
10981,validation,Neutral,1,virtus pro kept first place in the group by beating og egamersworld com dota news the cis team already has five consecutive victories,23,0,virtus pro kept first place in the group by beating og egamersworld com dota news the cis team already has,6254 480 1494 129 479 10 2 960 68 2482 2253 6456 19 233 156 2 3325 193 225 63
14894,train,Negative,0,all these changes yet mongoose bite is still not a default method of a survivals kit why make this change as it not answer any to put picked talent on third row,32,0,all these changes yet mongoose bite is still not a default method of a survivals kit why make this change,28 125 809 336 16626 9702 9 73 16 6 5452 6630 7 6 17448 2204 66 113 12 426
1866,validation,Neutral,1,timothy jones so small of heart how dumb of ass,10,0,timothy jones so small of heart how dumb of ass,14681 3699 22 602 7 685 67 916 7 276 0 0 0 0 0 0 0 0 0 0
40163,train,Neutral,1,no he just has brain damage that is not the same,11,0,no he just has brain damage that is not the same,56 130 24 63 1332 1091 17 9 16 2 268 0 0 0 0 0 0 0 0 0
48171,train,Neutral,1,the people who killed michael or trevor at the end of the day are probably hooligans right now,18,1,the people who killed michael or trevor at the end of the day are probably hooligans right now,2 77 101 621 2053 65 3594 31 2 368 7 2 124 25 335 1 164 41 0 0
43657,train,Negative,0,interro ik you probably do not care but you can please help console players and tweet rainbow game to do something about ddosers because believe me they do absolutely nothing please help us they do not listen to anyone like me,41,1,interro ik you probably do not care but you can please help console players and tweet rainbow game to do,1 3120 13 335 34 16 409 27 13 29 97 167 369 223 5 830 303 18 4 34
39152,train,Negative,0,too much time spent playing video games indoors is bad for your health,13,0,too much time spent playing video games indoors is bad for your health,169 107 70 723 80 147 76 7246 9 137 11 39 756 0 0 0 0 0 0 0
44888,train,Negative,0,rainbow game i was removed from the game because i lost connection and can no longer participate in the game which will result in me receiving a half hour ban pic twitter com cyevf vem,35,0,rainbow game i was removed from the game because i lost connection and can no longer participate in the game,303 18 3 30 1108 37 2 18 89 3 366 702 5 29 56 728 4564 10 2 18
34287,train,Negative,0,out of all the phone carriers to have curbside assistance verizon is the only to not have it and i legit have an issue with my phone,27,0,out of all the phone carriers to have curbside assistance verizon is the only to not have it and i,36 7 28 2 334 3973 4 21 12799 4177 110 9 2 103 4 16 21 8 5 3
38693,test,Negative,0,bashing fifa for every reason who all are shocked how long your hate lingers are for serena and her popularity just because fifa supports her and sidnaaz ohh myy my,30,3,bashing fifa for every reason who all are shocked how long your hate lingers are for serena and her popularity,9663 115 11 146 436 101 28 25 2539 67 281 39 245 1 25 11 1 5 275 2594
6502,train,Positive,2,imagine complaining about realistic body proportions when you watch when the characters eyes are literally the size of their fists shut up and let the artists do what they want,30,1,imagine complaining about realistic body proportions when you watch when the characters eyes are literally the size of their fists,825 3983 54 2458 1207 16955 59 13 163 59 2 678 1750 25 331 2 1639 7 109 1
7592,train,Positive,2,hey my thanks for putting me over an outside a checkout queue while i was on board the last steps of your buying a xbox racing series master x now they are sold out to fuck yourselves,37,0,hey my thanks for putting me over an outside a checkout queue while i was on board the last steps,294 14 166 11 1134 26 119 57 1036 6 7975 2311 247 3 30 15 1932 2 168 2607
